name,type,value,date
东城第一门市部,东城第一门市部,156113.11,2018-05-15
东城营业部,东城营业部,149169.58,2018-05-15
花市营业部,花市营业部,754830.17,2018-05-16
劲松营业部,劲松营业部,439676.80,2018-05-16
第一营业部,第一营业部,353211.68,2018-05-16
西城第一门市部,西城第一门市部,296502.12,2018-05-16
阜外营业部,阜外营业部,274254.56,2018-05-16
宣武门外营业部,宣武门外营业部,265990.09,2018-05-16
建国门分社,建国门分社,237801.99,2018-05-16
公主坟第一门市,公主坟第一门市,213601.26,2018-05-16
东城营业部,东城营业部,183324.58,2018-05-16
东城第一门市部,东城第一门市部,171890.11,2018-05-16
花市营业部,花市营业部,770272.19,2018-05-17
劲松营业部,劲松营业部,549577.80,2018-05-17
阜外营业部,阜外营业部,396569.06,2018-05-17
第一营业部,第一营业部,353211.68,2018-05-17
宣武门外营业部,宣武门外营业部,347134.09,2018-05-17
西城第一门市部,西城第一门市部,296502.12,2018-05-17
建国门分社,建国门分社,248030.67,2018-05-17
中关村大街第一营业部,中关村大街第一营业部,232431.12,2018-05-17
怀柔门市,怀柔门市,226135.68,2018-05-17
东城营业部,东城营业部,224136.70,2018-05-17
花市营业部,花市营业部,809721.25,2018-05-18
劲松营业部,劲松营业部,563234.85,2018-05-18
阜外营业部,阜外营业部,458642.06,2018-05-18
宣武门外营业部,宣武门外营业部,394096.09,2018-05-18
第一营业部,第一营业部,364515.48,2018-05-18
营销中心大客户部,营销中心大客户部,320232.28,2018-05-18
西城第一门市部,西城第一门市部,308085.12,2018-05-18
东城营业部,东城营业部,283550.70,2018-05-18
建国门分社,建国门分社,279511.68,2018-05-18
东直门门市部,东直门门市部,269239.70,2018-05-18
花市营业部,花市营业部,949681.07,2018-05-19
劲松营业部,劲松营业部,616663.45,2018-05-19
西城第一门市部,西城第一门市部,459020.12,2018-05-19
阜外营业部,阜外营业部,458642.06,2018-05-19
宣武门外营业部,宣武门外营业部,401497.11,2018-05-19
第一营业部,第一营业部,364515.48,2018-05-19
营销中心大客户部,营销中心大客户部,333756.29,2018-05-19
东城营业部,东城营业部,333448.72,2018-05-19
建国门分社,建国门分社,286835.68,2018-05-19
东直门门市部,东直门门市部,269604.02,2018-05-19
花市营业部,花市营业部,968928.27,2018-05-20
劲松营业部,劲松营业部,694006.21,2018-05-20
阜外营业部,阜外营业部,477207.46,2018-05-20
西城第一门市部,西城第一门市部,459020.12,2018-05-20
宣武门外营业部,宣武门外营业部,402586.11,2018-05-20
第一营业部,第一营业部,364515.48,2018-05-20
东城营业部,东城营业部,343344.76,2018-05-20
营销中心大客户部,营销中心大客户部,340288.31,2018-05-20
宣武营业部,宣武营业部,308548.12,2018-05-20
怀柔门市,怀柔门市,295169.34,2018-05-20
花市营业部,花市营业部,979719.27,2018-05-21
营销中心大客户部,营销中心大客户部,706784.81,2018-05-21
劲松营业部,劲松营业部,694006.21,2018-05-21
阜外营业部,阜外营业部,504611.46,2018-05-21
西城第一门市部,西城第一门市部,483888.92,2018-05-21
宣武门外营业部,宣武门外营业部,402586.11,2018-05-21
第一营业部,第一营业部,364515.48,2018-05-21
怀柔门市,怀柔门市,354307.98,2018-05-21
东城营业部,东城营业部,343344.76,2018-05-21
宣武营业部,宣武营业部,313993.12,2018-05-21
花市营业部,花市营业部,1005102.87,2018-05-22
营销中心大客户部,营销中心大客户部,718427.81,2018-05-22
劲松营业部,劲松营业部,700835.21,2018-05-22
阜外营业部,阜外营业部,513341.46,2018-05-22
西城第一门市部,西城第一门市部,483888.92,2018-05-22
宣武门外营业部,宣武门外营业部,405060.12,2018-05-22
第一营业部,第一营业部,364515.48,2018-05-22
怀柔门市,怀柔门市,354307.98,2018-05-22
东城营业部,东城营业部,349084.76,2018-05-22
建国门分社,建国门分社,319565.08,2018-05-22
花市营业部,花市营业部,1052360.70,2018-05-23
营销中心大客户部,营销中心大客户部,753612.41,2018-05-23
劲松营业部,劲松营业部,722753.07,2018-05-23
阜外营业部,阜外营业部,673019.46,2018-05-23
西城第一门市部,西城第一门市部,508466.66,2018-05-23
宣武门外营业部,宣武门外营业部,409218.12,2018-05-23
第一营业部,第一营业部,364515.48,2018-05-23
怀柔门市,怀柔门市,363694.38,2018-05-23
东城营业部,东城营业部,354193.16,2018-05-23
宣武营业部,宣武营业部,345879.12,2018-05-23
花市营业部,花市营业部,1131323.70,2018-05-24
营销中心大客户部,营销中心大客户部,753612.41,2018-05-24
劲松营业部,劲松营业部,730532.49,2018-05-24
阜外营业部,阜外营业部,673019.46,2018-05-24
西城第一门市部,西城第一门市部,508466.66,2018-05-24
宣武营业部,宣武营业部,431215.14,2018-05-24
宣武门外营业部,宣武门外营业部,409218.12,2018-05-24
怀柔门市,怀柔门市,386509.92,2018-05-24
东城第一门市部,东城第一门市部,374781.96,2018-05-24
第一营业部,第一营业部,371445.48,2018-05-24
花市营业部,花市营业部,1144688.70,2018-05-25
营销中心大客户部,营销中心大客户部,753612.41,2018-05-25
劲松营业部,劲松营业部,744498.41,2018-05-25
阜外营业部,阜外营业部,673019.46,2018-05-25
西城第一门市部,西城第一门市部,508466.66,2018-05-25
宣武营业部,宣武营业部,441610.14,2018-05-25
东城第一门市部,东城第一门市部,430131.96,2018-05-25
宣武门外营业部,宣武门外营业部,417037.12,2018-05-25
怀柔门市,怀柔门市,386509.92,2018-05-25
东城营业部,东城营业部,385095.56,2018-05-25
花市营业部,花市营业部,1277228.52,2018-05-26
劲松营业部,劲松营业部,754200.41,2018-05-26
营销中心大客户部,营销中心大客户部,753612.41,2018-05-26
阜外营业部,阜外营业部,711180.00,2018-05-26
西城第一门市部,西城第一门市部,517570.70,2018-05-26
宣武营业部,宣武营业部,506041.38,2018-05-26
宣武门外营业部,宣武门外营业部,477937.34,2018-05-26
方庄营业部,方庄营业部,453976.52,2018-05-26
东城第一门市部,东城第一门市部,431119.98,2018-05-26
公主坟第一门市,公主坟第一门市,411825.20,2018-05-26
花市营业部,花市营业部,1277228.52,2018-05-27
劲松营业部,劲松营业部,772180.01,2018-05-27
营销中心大客户部,营销中心大客户部,753612.41,2018-05-27
阜外营业部,阜外营业部,711180.00,2018-05-27
西城第一门市部,西城第一门市部,523804.73,2018-05-27
宣武营业部,宣武营业部,506041.38,2018-05-27
宣武门外营业部,宣武门外营业部,489746.74,2018-05-27
东城第一门市部,东城第一门市部,474107.03,2018-05-27
方庄营业部,方庄营业部,453976.52,2018-05-27
公主坟第一门市,公主坟第一门市,417151.40,2018-05-27
花市营业部,花市营业部,1277228.52,2018-05-28
劲松营业部,劲松营业部,818512.01,2018-05-28
营销中心大客户部,营销中心大客户部,753612.41,2018-05-28
阜外营业部,阜外营业部,711180.00,2018-05-28
西城第一门市部,西城第一门市部,523804.73,2018-05-28
公主坟第一门市,公主坟第一门市,514437.40,2018-05-28
东城第一门市部,东城第一门市部,511607.03,2018-05-28
宣武营业部,宣武营业部,506041.38,2018-05-28
宣武门外营业部,宣武门外营业部,505586.74,2018-05-28
方庄营业部,方庄营业部,455956.52,2018-05-28
花市营业部,花市营业部,1316786.94,2018-05-29
劲松营业部,劲松营业部,820967.21,2018-05-29
营销中心大客户部,营销中心大客户部,764782.82,2018-05-29
阜外营业部,阜外营业部,711180.00,2018-05-29
西城第一门市部,西城第一门市部,557858.75,2018-05-29
公主坟第一门市,公主坟第一门市,535491.48,2018-05-29
东城第一门市部,东城第一门市部,532889.05,2018-05-29
宣武门外营业部,宣武门外营业部,519124.00,2018-05-29
宣武营业部,宣武营业部,508377.78,2018-05-29
方庄营业部,方庄营业部,461963.84,2018-05-29
花市营业部,花市营业部,1400632.02,2018-05-30
劲松营业部,劲松营业部,931956.11,2018-05-30
营销中心大客户部,营销中心大客户部,764782.82,2018-05-30
阜外营业部,阜外营业部,722438.40,2018-05-30
东城第一门市部,东城第一门市部,566506.48,2018-05-30
西城第一门市部,西城第一门市部,562210.79,2018-05-30
公主坟第一门市,公主坟第一门市,543423.48,2018-05-30
宣武营业部,宣武营业部,519672.78,2018-05-30
宣武门外营业部,宣武门外营业部,519124.00,2018-05-30
建国门分社,建国门分社,511257.86,2018-05-30
花市营业部,花市营业部,1479575.44,2018-05-31
劲松营业部,劲松营业部,989941.93,2018-05-31
营销中心大客户部,营销中心大客户部,764782.82,2018-05-31
阜外营业部,阜外营业部,726200.40,2018-05-31
东城第一门市部,东城第一门市部,636050.02,2018-05-31
西城第一门市部,西城第一门市部,615488.59,2018-05-31
公主坟第一门市,公主坟第一门市,556392.48,2018-05-31
