name,type,value,date
九州风行,九州风行,1312576.61,2018-06-18
寰宇风情,寰宇风情,1249142.19,2018-06-18
皇家UNIWAY,皇家UNIWAY,891276.95,2018-06-18
领先旅游,领先旅游,792333.00,2018-06-18
翔龙万里行,翔龙万里行,679183.47,2018-06-18
全景旅游,全景旅游,5711831.35,2018-06-19
优耐德,优耐德,4459460.02,2018-06-19
奇幻九州,奇幻九州,1750930.00,2018-06-19
五洲行,五洲行,1447749.28,2018-06-19
九州风行,九州风行,1413756.61,2018-06-19
朋乐假期,朋乐假期,1380888.40,2018-06-19
寰宇风情,寰宇风情,1306166.19,2018-06-19
皇家UNIWAY,皇家UNIWAY,905849.95,2018-06-19
领先旅游,领先旅游,792333.00,2018-06-19
翔龙万里行,翔龙万里行,698330.07,2018-06-19
全景旅游,全景旅游,5794655.37,2018-06-20
优耐德,优耐德,4544822.02,2018-06-20
奇幻九州,奇幻九州,1787288.00,2018-06-20
五洲行,五洲行,1585866.16,2018-06-20
九州风行,九州风行,1503438.65,2018-06-20
朋乐假期,朋乐假期,1406671.42,2018-06-20
寰宇风情,寰宇风情,1370506.99,2018-06-20
